what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1298377955518
stopped,bundle,com.aptana.ide.js.docgen,1.2.7.024747,com.aptana.ide.js.docgen,1298377955518
stopped,bundle,com.aptana.ide.debug.ui,1.2.7.024747,com.aptana.ide.debug.ui,1298377955519
stopped,bundle,com.aptana.ide.ssh,1.2.7.024747,com.aptana.ide.ssh,1298377955519
stopped,bundle,com.aptana.ide.server.cloud,1.2.7.024747,com.aptana.ide.server.cloud,1298377955519
stopped,bundle,com.aptana.ide.db.ui,1.2.7.024747,com.aptana.ide.db.ui,1298377955519
stopped,bundle,com.aptana.ide.framework.jaxer.server.macosx,1.2.7.024747,com.aptana.ide.framework.jaxer.server.macosx,1298377955519
stopped,bundle,com.aptana.ide.framework.jaxer,1.2.7.024747,com.aptana.ide.framework.jaxer,1298377955519
stopped,bundle,com.aptana.ide.documentation,1.2.7.024747,com.aptana.ide.documentation,1298377955519
stopped,bundle,com.aptana.ide.scripting,1.2.7.024747,com.aptana.ide.scripting,1298377955519
stopped,bundle,com.aptana.ide.editor.xml,1.2.7.024747,com.aptana.ide.editor.xml,1298377955519
stopped,bundle,com.aptana.ide.xul,1.2.7.024747,com.aptana.ide.xul,1298377955520
stopped,bundle,com.aptana.ide.editor.html,1.2.7.024747,com.aptana.ide.editor.html,1298377955520
stopped,bundle,com.aptana.ide.editor.css,1.2.7.024747,com.aptana.ide.editor.css,1298377955520
stopped,bundle,com.aptana.ide.syncing,1.2.7.024747,com.aptana.ide.syncing,1298377955521
stopped,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.2.7.024747,org.eclipse.eclipsemonkey.lang.javascript,1298377955521
stopped,bundle,org.eclipse.eclipsemonkey.ui,1.2.7.024747,org.eclipse.eclipsemonkey.ui,1298377955521
stopped,bundle,com.aptana.ide.editor.js,1.2.7.024747,com.aptana.ide.editor.js,1298377955521
stopped,bundle,com.aptana.ide.editor.text,1.2.7.024747,com.aptana.ide.editor.text,1298377955521
stopped,bundle,com.aptana.ide.samples,1.2.7.024747,com.aptana.ide.samples,1298377955521
stopped,bundle,com.aptana.ide.search,1.2.7.024747,com.aptana.ide.search,1298377955521
stopped,bundle,com.aptana.ide.search.epl,1.2.7.024747,com.aptana.ide.search.epl,1298377955521
stopped,bundle,com.aptana.ide.io.file,1.2.7.024747,com.aptana.ide.io.file,1298377955523
stopped,bundle,com.aptana.ide.editors.codeassist,1.2.7.024747,com.aptana.ide.editors.codeassist,1298377955523
stopped,bundle,com.aptana.ide.extras,1.2.7.024747,com.aptana.ide.extras,1298377955523
