what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.ide.intro,1.2.7.024747,com.aptana.ide.intro,1298377955523
stopped,bundle,com.aptana.ide.server.portal,1.2.7.024747,com.aptana.ide.server.portal,1298377955523
stopped,bundle,com.aptana.ide.update,1.2.7.024747,com.aptana.ide.update,1298377955523
stopped,bundle,com.aptana.ide.server.jetty,1.2.7.024747,com.aptana.ide.server.jetty,1298377955523
stopped,bundle,com.aptana.ide.server.ui,1.2.7.024747,com.aptana.ide.server.ui,1298377955523
stopped,bundle,com.aptana.ide.logging,1.2.7.024747,com.aptana.ide.logging,1298377955523
stopped,bundle,com.aptana.ide.snippets,1.2.7.024747,com.aptana.ide.snippets,1298377955523
stopped,bundle,com.aptana.ide.editors,1.2.7.024747,com.aptana.ide.editors,1298377955523
stopped,bundle,com.aptana.ide.internet.proxy,1.2.7.024747,com.aptana.ide.internet.proxy,1298377955523
stopped,bundle,org.eclipse.eclipsemonkey.doms,1.2.7.024747,org.eclipse.eclipsemonkey.doms,1298377955523
stopped,bundle,org.eclipse.eclipsemonkey,1.2.7.024747,org.eclipse.eclipsemonkey,1298377955523
stopped,bundle,com.aptana.ide.core.ui,1.2.7.024747,com.aptana.ide.core.ui,1298377955523
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1298377955523
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1298377955523
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1298377955523
stopped,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1298377955523
stopped,bundle,com.aptana.ide.debug.core,1.2.7.024747,com.aptana.ide.debug.core,1298377955523
stopped,bundle,com.aptana.ide.server.core,1.2.7.024747,com.aptana.ide.server.core,1298377955524
stopped,bundle,com.aptana.ide.server,1.2.7.024747,com.aptana.ide.server,1298377955524
stopped,bundle,com.aptana.ide.epl,1.2.7.024747,com.aptana.ide.epl,1298377955524
stopped,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1298377955524
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1298377955524
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.v200808140615,org.eclipse.datatools.sqltools.debugger.core,1298377955524
stopped,bundle,org.eclipse.datatools.sqltools.db.derby,1.0.0.v200805152355,org.eclipse.datatools.sqltools.db.derby,1298377955524
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor,1298377955524
