what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.epl,1.2.7.024747,com.aptana.ide.epl,1298377924786
started,bundle,com.aptana.ide.intro,1.2.7.024747,com.aptana.ide.intro,1298377924786
started,bundle,com.aptana.ide.io.file,1.2.7.024747,com.aptana.ide.io.file,1298377924786
started,bundle,com.aptana.ide.server,1.2.7.024747,com.aptana.ide.server,1298377924786
started,bundle,com.aptana.ide.server.jetty,1.2.7.024747,com.aptana.ide.server.jetty,1298377924786
started,bundle,com.aptana.ide.syncing,1.2.7.024747,com.aptana.ide.syncing,1298377924786
started,bundle,com.collabnet.subversion.merge,2.1.0,com.collabnet.subversion.merge,1298377924786
started,bundle,org.tigris.subversion.clientadapter,1.6.12,org.tigris.subversion.clientadapter,1298377924786
started,bundle,org.tigris.subversion.subclipse.core,1.6.13,org.tigris.subversion.subclipse.core,1298377924786
started,bundle,org.tigris.subversion.subclipse.ui,1.6.13,org.tigris.subversion.subclipse.ui,1298377924786
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1298377925449
started,bundle,com.aptana.ide.server.portal,1.2.7.024747,com.aptana.ide.server.portal,1298377928518
started,bundle,com.aptana.ide.editors,1.2.7.024747,com.aptana.ide.editors,1298377928653
started,bundle,com.aptana.ide.scripting,1.2.7.024747,com.aptana.ide.scripting,1298377928655
started,bundle,com.aptana.ide.search,1.2.7.024747,com.aptana.ide.search,1298377928667
started,bundle,com.aptana.ide.server.cloud,1.2.7.024747,com.aptana.ide.server.cloud,1298377928672
started,bundle,com.aptana.ide.ssh,1.2.7.024747,com.aptana.ide.ssh,1298377928682
started,bundle,com.aptana.ide.update,1.2.7.024747,com.aptana.ide.update,1298377928682
opened,editor,com.aptana.ide.server.portal,1.2.7.024747,com.aptana.ide.server.portal.ui.MyAptanaEditor,1298377928745
started,bundle,org.eclipse.eclipsemonkey,1.2.7.024747,org.eclipse.eclipsemonkey,1298377928747
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.2.7.024747,org.eclipse.eclipsemonkey.lang.javascript,1298377928749
started,bundle,com.aptana.ide.db.ui,1.2.7.024747,com.aptana.ide.db.ui,1298377928792
started,bundle,org.eclipse.eclipsemonkey.doms,1.2.7.024747,org.eclipse.eclipsemonkey.doms,1298377928873
started,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1298377928993
stopped,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1298377928998
