what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.ide.editor.js,1.2.7.024747,com.aptana.ide.editor.js,1298138428101
stopped,bundle,com.aptana.ide.editor.text,1.2.7.024747,com.aptana.ide.editor.text,1298138428101
stopped,bundle,com.aptana.ide.samples,1.2.7.024747,com.aptana.ide.samples,1298138428104
stopped,bundle,com.aptana.ide.search,1.2.7.024747,com.aptana.ide.search,1298138428104
stopped,bundle,com.aptana.ide.search.epl,1.2.7.024747,com.aptana.ide.search.epl,1298138428104
stopped,bundle,com.aptana.ide.io.file,1.2.7.024747,com.aptana.ide.io.file,1298138428104
stopped,bundle,com.aptana.ide.editors.codeassist,1.2.7.024747,com.aptana.ide.editors.codeassist,1298138428104
stopped,bundle,com.aptana.ide.extras,1.2.7.024747,com.aptana.ide.extras,1298138428104
stopped,bundle,com.aptana.ide.intro,1.2.7.024747,com.aptana.ide.intro,1298138428104
stopped,bundle,com.aptana.ide.server.portal,1.2.7.024747,com.aptana.ide.server.portal,1298138428104
stopped,bundle,com.aptana.ide.update,1.2.7.024747,com.aptana.ide.update,1298138428104
stopped,bundle,com.aptana.ide.server.jetty,1.2.7.024747,com.aptana.ide.server.jetty,1298138428104
stopped,bundle,com.aptana.ide.server.ui,1.2.7.024747,com.aptana.ide.server.ui,1298138428104
stopped,bundle,com.aptana.ide.logging,1.2.7.024747,com.aptana.ide.logging,1298138428104
stopped,bundle,com.aptana.ide.snippets,1.2.7.024747,com.aptana.ide.snippets,1298138428104
stopped,bundle,com.aptana.ide.editors,1.2.7.024747,com.aptana.ide.editors,1298138428104
stopped,bundle,com.aptana.ide.internet.proxy,1.2.7.024747,com.aptana.ide.internet.proxy,1298138428104
stopped,bundle,org.eclipse.eclipsemonkey.doms,1.2.7.024747,org.eclipse.eclipsemonkey.doms,1298138428104
stopped,bundle,org.eclipse.eclipsemonkey,1.2.7.024747,org.eclipse.eclipsemonkey,1298138428104
stopped,bundle,com.aptana.ide.core.ui,1.2.7.024747,com.aptana.ide.core.ui,1298138428104
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1298138428104
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1298138428104
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1298138428104
stopped,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1298138428104
stopped,bundle,com.aptana.ide.debug.core,1.2.7.024747,com.aptana.ide.debug.core,1298138428104
