what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.debug.ui,1.2.7.024747,com.aptana.ide.debug.ui,1298138270741
started,bundle,com.aptana.ide.documentation,1.2.7.024747,com.aptana.ide.documentation,1298138270741
started,bundle,com.aptana.ide.epl,1.2.7.024747,com.aptana.ide.epl,1298138270741
started,bundle,com.aptana.ide.extras,1.2.7.024747,com.aptana.ide.extras,1298138270741
started,bundle,com.aptana.ide.framework.jaxer,1.2.7.024747,com.aptana.ide.framework.jaxer,1298138270741
started,bundle,com.aptana.ide.framework.jaxer.server.macosx,1.2.7.024747,com.aptana.ide.framework.jaxer.server.macosx,1298138270741
started,bundle,com.aptana.ide.intro,1.2.7.024747,com.aptana.ide.intro,1298138270741
started,bundle,com.aptana.ide.io.file,1.2.7.024747,com.aptana.ide.io.file,1298138270741
started,bundle,com.aptana.ide.samples,1.2.7.024747,com.aptana.ide.samples,1298138270741
started,bundle,com.aptana.ide.server,1.2.7.024747,com.aptana.ide.server,1298138270741
started,bundle,com.aptana.ide.server.cloud,1.2.7.024747,com.aptana.ide.server.cloud,1298138270741
started,bundle,com.aptana.ide.server.core,1.2.7.024747,com.aptana.ide.server.core,1298138270741
started,bundle,com.aptana.ide.server.jetty,1.2.7.024747,com.aptana.ide.server.jetty,1298138270741
started,bundle,com.aptana.ide.server.portal,1.2.7.024747,com.aptana.ide.server.portal,1298138270741
started,bundle,com.aptana.ide.ssh,1.2.7.024747,com.aptana.ide.ssh,1298138270741
started,bundle,com.aptana.ide.syncing,1.2.7.024747,com.aptana.ide.syncing,1298138270741
started,bundle,com.aptana.ide.update,1.2.7.024747,com.aptana.ide.update,1298138270741
started,bundle,com.collabnet.subversion.merge,2.1.0,com.collabnet.subversion.merge,1298138270741
started,bundle,org.tigris.subversion.clientadapter,1.6.12,org.tigris.subversion.clientadapter,1298138270741
started,bundle,org.tigris.subversion.subclipse.core,1.6.13,org.tigris.subversion.subclipse.core,1298138270741
started,bundle,org.tigris.subversion.subclipse.ui,1.6.13,org.tigris.subversion.subclipse.ui,1298138270741
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1298138271762
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1298138272140
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1298138274006
started,bundle,com.aptana.ide.editors,1.2.7.024747,com.aptana.ide.editors,1298138276237
