what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.web.ui,1.1.201.v200811240900,org.eclipse.wst.web.ui,1298138428094
stopped,bundle,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.ui,1298138428094
stopped,bundle,org.eclipse.wst.css.ui,1.0.301.v200807170605,org.eclipse.wst.css.ui,1298138428094
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1298138428094
stopped,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1298138428094
stopped,bundle,org.eclipse.wst.common.ui,1.1.302.v200810160107,org.eclipse.wst.common.ui,1298138428094
stopped,bundle,org.eclipse.wst.jsdt.ui,1.0.104.v200901290004,org.eclipse.wst.jsdt.ui,1298138428100
stopped,bundle,org.eclipse.wst.javascript.ui,1.0.200.v200805160650,org.eclipse.wst.javascript.ui,1298138428100
stopped,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1298138428100
stopped,bundle,com.aptana.ide.js.docgen,1.2.7.024747,com.aptana.ide.js.docgen,1298138428100
stopped,bundle,com.aptana.ide.debug.ui,1.2.7.024747,com.aptana.ide.debug.ui,1298138428100
stopped,bundle,com.aptana.ide.ssh,1.2.7.024747,com.aptana.ide.ssh,1298138428100
stopped,bundle,com.aptana.ide.server.cloud,1.2.7.024747,com.aptana.ide.server.cloud,1298138428100
stopped,bundle,com.aptana.ide.db.ui,1.2.7.024747,com.aptana.ide.db.ui,1298138428100
stopped,bundle,com.aptana.ide.framework.jaxer.server.macosx,1.2.7.024747,com.aptana.ide.framework.jaxer.server.macosx,1298138428100
stopped,bundle,com.aptana.ide.framework.jaxer,1.2.7.024747,com.aptana.ide.framework.jaxer,1298138428100
stopped,bundle,com.aptana.ide.documentation,1.2.7.024747,com.aptana.ide.documentation,1298138428101
stopped,bundle,com.aptana.ide.scripting,1.2.7.024747,com.aptana.ide.scripting,1298138428101
stopped,bundle,com.aptana.ide.editor.xml,1.2.7.024747,com.aptana.ide.editor.xml,1298138428101
stopped,bundle,com.aptana.ide.xul,1.2.7.024747,com.aptana.ide.xul,1298138428101
stopped,bundle,com.aptana.ide.editor.html,1.2.7.024747,com.aptana.ide.editor.html,1298138428101
stopped,bundle,com.aptana.ide.editor.css,1.2.7.024747,com.aptana.ide.editor.css,1298138428101
stopped,bundle,com.aptana.ide.syncing,1.2.7.024747,com.aptana.ide.syncing,1298138428101
stopped,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.2.7.024747,org.eclipse.eclipsemonkey.lang.javascript,1298138428101
stopped,bundle,org.eclipse.eclipsemonkey.ui,1.2.7.024747,org.eclipse.eclipsemonkey.ui,1298138428101
