what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1297521277424
stopped,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1297521277424
stopped,bundle,org.eclipse.wst.common.ui,1.1.302.v200810160107,org.eclipse.wst.common.ui,1297521277424
stopped,bundle,org.eclipse.wst.jsdt.ui,1.0.104.v200901290004,org.eclipse.wst.jsdt.ui,1297521277433
stopped,bundle,org.eclipse.wst.javascript.ui,1.0.200.v200805160650,org.eclipse.wst.javascript.ui,1297521277433
stopped,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1297521277433
stopped,bundle,com.aptana.ide.js.docgen,1.2.7.024747,com.aptana.ide.js.docgen,1297521277433
stopped,bundle,com.aptana.ide.debug.ui,1.2.7.024747,com.aptana.ide.debug.ui,1297521277434
stopped,bundle,com.aptana.ide.ssh,1.2.7.024747,com.aptana.ide.ssh,1297521277436
stopped,bundle,com.aptana.ide.server.cloud,1.2.7.024747,com.aptana.ide.server.cloud,1297521277438
stopped,bundle,com.aptana.ide.db.ui,1.2.7.024747,com.aptana.ide.db.ui,1297521277438
stopped,bundle,com.aptana.ide.framework.jaxer.server.macosx,1.2.7.024747,com.aptana.ide.framework.jaxer.server.macosx,1297521277438
stopped,bundle,com.aptana.ide.framework.jaxer,1.2.7.024747,com.aptana.ide.framework.jaxer,1297521277438
stopped,bundle,com.aptana.ide.documentation,1.2.7.024747,com.aptana.ide.documentation,1297521277438
stopped,bundle,com.aptana.ide.scripting,1.2.7.024747,com.aptana.ide.scripting,1297521277438
stopped,bundle,com.aptana.ide.editor.xml,1.2.7.024747,com.aptana.ide.editor.xml,1297521277438
stopped,bundle,com.aptana.ide.xul,1.2.7.024747,com.aptana.ide.xul,1297521277440
stopped,bundle,com.aptana.ide.editor.html,1.2.7.024747,com.aptana.ide.editor.html,1297521277440
stopped,bundle,com.aptana.ide.editor.css,1.2.7.024747,com.aptana.ide.editor.css,1297521277441
stopped,bundle,com.aptana.ide.syncing,1.2.7.024747,com.aptana.ide.syncing,1297521277441
stopped,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.2.7.024747,org.eclipse.eclipsemonkey.lang.javascript,1297521277441
stopped,bundle,org.eclipse.eclipsemonkey.ui,1.2.7.024747,org.eclipse.eclipsemonkey.ui,1297521277441
stopped,bundle,com.aptana.ide.editor.js,1.2.7.024747,com.aptana.ide.editor.js,1297521277441
stopped,bundle,com.aptana.ide.editor.text,1.2.7.024747,com.aptana.ide.editor.text,1297521277441
stopped,bundle,com.aptana.ide.samples,1.2.7.024747,com.aptana.ide.samples,1297521277442
