what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.scripting,1.2.7.024747,com.aptana.ide.scripting,1298138276238
opened,editor,com.aptana.ide.server.portal,1.2.7.024747,com.aptana.ide.server.portal.ui.MyAptanaEditor,1298138276282
started,bundle,com.aptana.ide.search,1.2.7.024747,com.aptana.ide.search,1298138276290
started,bundle,org.eclipse.eclipsemonkey,1.2.7.024747,org.eclipse.eclipsemonkey,1298138277886
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.2.7.024747,org.eclipse.eclipsemonkey.lang.javascript,1298138277903
activated,editor,com.aptana.ide.server.portal,1.2.7.024747,com.aptana.ide.server.portal.ui.MyAptanaEditor,1298138278495
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1298138278531
closed,editor,com.aptana.ide.server.portal,1.2.7.024747,com.aptana.ide.server.portal.ui.MyAptanaEditor,1298138278532
started,bundle,org.eclipse.eclipsemonkey.doms,1.2.7.024747,org.eclipse.eclipsemonkey.doms,1298138278819
started,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1298138279108
stopped,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1298138279116
unresolved,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1298138279116
uninstalled,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1298138279116
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1298138422895
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1298138427450
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1298138427519
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1298138428057
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1298138428057
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1298138428057
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1298138428057
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1298138428057
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1298138428057
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1298138428057
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1298138428057
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1298138428057
